station_id,label,parameter,unit_name,qualifier
564154,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
3572,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
251530TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E10450,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E3240,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
591642,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E7295,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
49102,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E1613,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E7095,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E24874,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
268851TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
247281TP,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
006403,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1773,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
008850,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
013045,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
013045,rainfall-tipping_bucket_raingauge-i-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
E14930,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
1748,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
035302,rainfall-tipping_bucket_raingauge-t-15_min-mm,rainfall,mm,Tipping Bucket Raingauge
